#截止2023-09-27，福建省福州市IP地址共计1186条记录，IP地址总数2582784。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
203.1.70.0	203.1.71.255	512	电信
203.1.76.0	203.1.77.255	512	电信
203.1.90.0	203.1.90.255	256	电信
203.1.97.0	203.1.103.255	1792	电信
203.1.108.0	203.1.108.255	256	电信
203.1.253.0	203.1.254.255	512	电信
203.2.73.0	203.2.73.255	256	电信
203.2.126.0	203.2.127.255	512	电信
203.2.140.0	203.2.140.255	256	电信
203.2.150.0	203.2.150.255	256	电信
203.2.152.0	203.2.157.255	1536	电信
203.2.180.0	203.2.181.255	512	电信
203.2.196.0	203.2.197.255	512	电信
203.2.209.0	203.2.209.255	256	电信
203.2.214.0	203.2.215.255	512	电信
203.2.226.0	203.2.227.255	512	电信
203.2.229.0	203.2.229.255	256	电信
203.2.236.0	203.2.237.255	512	电信
203.3.68.0	203.3.68.255	256	电信
203.3.72.0	203.3.73.255	512	电信
203.3.75.0	203.3.75.255	256	电信
203.3.96.0	203.3.99.255	1024	电信
203.3.105.0	203.3.105.255	256	电信
203.3.120.0	203.3.120.255	256	电信
203.3.123.0	203.3.123.255	256	电信
203.3.135.0	203.3.135.255	256	电信
203.3.139.0	203.3.139.255	256	电信
203.3.143.0	203.3.143.255	256	电信
203.4.132.0	203.4.134.255	768	电信
203.4.151.0	203.4.155.255	1280	电信
203.4.174.0	203.4.175.255	512	电信
203.4.180.0	203.4.180.255	256	电信
203.4.186.0	203.4.186.255	256	电信
203.4.205.0	203.4.205.255	256	电信
203.4.208.0	203.4.211.255	1024	电信
203.4.227.0	203.4.227.255	256	电信
203.4.230.0	203.4.231.255	512	电信
203.5.4.0	203.5.5.255	512	电信
203.5.7.0	203.5.9.255	768	电信
203.5.11.0	203.5.11.255	256	电信
203.5.21.0	203.5.22.255	512	电信
203.5.44.0	203.5.44.255	256	电信
203.5.46.0	203.5.47.255	512	电信
203.5.52.0	203.5.57.255	1536	电信
203.5.60.0	203.5.61.255	512	电信
203.5.114.0	203.5.115.255	512	电信
203.5.118.0	203.5.118.255	256	电信
203.5.120.0	203.5.120.255	256	电信
203.5.172.0	203.5.172.255	256	电信
203.5.180.0	203.5.182.255	768	电信
203.5.185.0	203.5.186.255	512	电信
203.5.188.0	203.5.190.255	768	电信
203.5.195.0	203.5.195.255	256	电信
203.5.214.0	203.5.215.255	512	电信
203.5.218.0	203.5.219.255	512	电信
203.6.131.0	203.6.131.255	256	电信
203.6.136.0	203.6.136.255	256	电信
203.6.138.0	203.6.139.255	512	电信
203.6.142.0	203.6.142.255	256	电信
203.6.150.0	203.6.151.255	512	电信
203.6.157.0	203.6.157.255	256	电信
203.6.159.0	203.6.159.255	256	电信
203.6.248.0	203.6.249.255	512	电信
203.7.129.0	203.7.129.255	256	电信
203.7.138.0	203.7.139.255	512	电信
203.7.147.0	203.7.147.255	256	电信
203.7.150.0	203.7.151.255	512	电信
203.7.158.0	203.7.158.255	256	电信
203.7.192.0	203.7.193.255	512	电信
203.7.200.0	203.7.200.255	256	电信
203.8.0.0	203.8.0.255	256	电信
203.8.8.0	203.8.8.255	256	电信
203.8.23.0	203.8.23.255	256	电信
203.8.70.0	203.8.70.255	256	电信
203.8.82.0	203.8.82.255	256	电信
203.8.86.0	203.8.87.255	512	电信
203.8.91.0	203.8.91.255	256	电信
203.8.110.0	203.8.111.255	512	电信
203.8.115.0	203.8.115.255	256	电信
203.8.166.0	203.8.167.255	512	电信
203.8.169.0	203.8.169.255	256	电信
203.8.173.0	203.8.173.255	256	电信
203.8.184.0	203.8.184.255	256	电信
203.8.186.0	203.8.187.255	512	电信
203.8.190.0	203.8.192.255	768	电信
